Link,País,Preço_Sócio,Preço_Normal,Pontuação,Avaliações,Somelier,Decantação,Olfativo,Amadurecimento,Uvas,Gustativo,Visual,Harmonização,Temperatura,Safra,Seco,Teor_Alcoólico,Vinícola,Tipo,Potencial_Guarda,Região,Preços_Cat,Pontuação_Cat,Estoque_Cat,Pontos_Total
https://wine.com.br/vinhos/latitud-33-malbec-2018/prod22749.html,Argentina,63.9,75.18,4.0,9.0,"O nome Latitud 33º faz referência à latitude, no Hemisfério do Sul, onde se localizam os vinhedos que dão origem a este vinho. Com um breve amadurecimento em barricas de carvalho, este tinto que traz a uva emblemática da Argentina, é muito agradável no paladar e fácil de combinar com receitas cotidianas.",,"Ameixa, cereja, framboesa, especiarias",3 meses em barricas de carvalho francês e americano.,Malbec (100%),"Frutado, bom corpo, taninos macios, acidez agradável",Rubi,"Fraldinha assada, vaca atolada, penne à bolonhesa, empanada de carne, lasanha de berinjela, queijos semiduros.",15.0,2018.0,1,14.0,Chandon Argentina,Tinto,5.0,Mendoza,2,1,2,36.0
https://wine.com.br/vinhos/sovento-sauvignon-blanc-2018/prod22855.html,Espanha,31.9,37.53,3.5,5.0,"Branco descomplicado para beber geladinho na piscina, em dias quentes. Frescor e fruta marcam o vinho.",,"Floral, frutas tropicais, pêssego",Em tanques de aço inox,Sauvignon Blanc (100.00%),"Boa acidez, refrescante e equilibrado",Amarelo-claro,"Entradas leves, saladas, peixes",9.0,2018.0,1,11.5,Bodegas Fernando Castro,Branco,3.0,Castilla La Mancha,1,1,1,17.5
https://wine.com.br/vinhos/la-mora-d-o-c-g-morellino-di-scansano-2018/prod22761.html,Itália,68.9,81.06,4.5,3.0,"Tinto com aromas de frutas vermelhas maduras, com toque floral e notas de especiarias, como noz-moscada. No paladar, possui médio corpo, é frutado, de taninos macios, com boa acidez, notas florais e toque de especiarias. Morellino Di Scansano, de estilo moderno, é elaborado majoritariamente com a tinta representativa da região, a Sangiovese, e é um exemplar que revela toda a expertise da Cecchi em elaborar vinhos italianos. Premiado com medalha de ouro no concurso Berliner Wein Trophy, e medalha de prata no Mundus Vini.",,"Frutas vermelhas maduras, floral, especiarias","2 meses em garrafas, nas caves.","Sangiovese (90%), Uvas nativas (10%)","Médio corpo, frutado, taninos macios, boa acidez, floral, especiarias",Rubi,"Massa à bolonhesa, carne assada, nhoque ao ragu de cogumelos, pizzas variadas, tian de berinjela, galinhada.",15.0,2018.0,1,13.0,Cecchi,Tinto,5.0,Maremma Toscana,3,1,2,13.5
https://wine.com.br/vinhos/senorio-de-ayud-garnacha-syrah-2018/prod22835.html,Espanha,32.9,38.71,4.0,18.0,"Elaborado em Calatayud, localizada no norte da Espanha, esse tinto mescla as uvas Garnacha e Syrah, porém a maior parcela é de Garnacha, a variedade emblemática dessa região vitivinícola espanhola. Por traz desse rótulo de estilo moderno e descomplicado, está a Bodegas Langa, com mais de 150 anos de história.",,"Frutas maduras, violeta, tostado","4 a 6 meses em barricas de carvalho, mais 6 meses em garrafa.","Syrah, Garnacha ","Frutado, corpo de leve para médio, taninos presentes, boa acidez",Rubi com reflexos violáceos,"Risoto de gruyère e linguiça calabresa, pizza de lombinho, berinjela à bolonhesa, tomates recheados, bolinho de mandioca com carne-seca, lasanha quatro queijos.",15.0,2018.0,1,14.5,Bodegas Langa,Tinto,5.0,Calatayud,1,2,2,72.0
https://wine.com.br/vinhos/terrazas-de-los-andes-altos-del-plata-syrah-2018/prod22806.html,Argentina,85.94,101.1,0.0,0.0,"As uvas desse vinho são cultivadas no Córdon del Plata, na Cordilheira dos Andes, local de altitude elevada com terroir único. A qualidade da Syrah manuseada com maestria pela vinícola Terrazas de los Andes, gera vinhos saborosos que agradam os mais diversos paladares.",,"Pimenta-do-reino, frutas negras, leve amadeirado",6 meses em barricas de carvalho.,Syrah/Shiraz (100%),"Corpo de leve para médio, taninos macios, acidez agradável, final agradável",Rubi,"Escondidinho de carne-seca com requeijão, baião de dois, bruschetta de tomate e manjericão, espaguete à marinara, costelinha suína com legumes, queijos semi-duros.",15.0,2018.0,1,14.5,Terrazas de los Andes,Tinto,4.0,Mendoza,3,0,1,0.0
https://wine.com.br/vinhos/desafinado-doc-douro-2017/prod22902.html,Portugal,,,4.0,22.0,"Elaborado no aclamado terroir do Douro, este tinto mescla algumas das mais tradicionais uvas portuguesas. O amadurecimento em barricas de carvalho agregou mais complexidade aos aromas e sabores deste vinho.",20.0,"Especiarias, frutas vermelhas maduras",8 meses em barricas de carvalho francês.,"Tinta Roriz, Touriga Franca , Tinta Barroca","Corpo médio p/ encorpado, acidez agradável, taninos macios",Rubi,"Churrasco, filé com risoto, hambúrguer, legumes grelhados, queijos, massas.",15.0,2017.0,1,13.5,Parras Wine,Tinto,5.0,Douro,,2,2,88.0
https://wine.com.br/vinhos/estrella-de-pascua-sauvignon-blanc-2019/prod22848.html,,,,0.0,0.0,"Para ser apreciado sozinho ou junto com alguma receita, que pode ser desde um petisco até um prato principal do dia a dia, este branco é leve e muito frutado. O delicado toque herbáceo é característico desta uva quando cultivada no Chile.",,"Frutas amarelas, frutas brancas, herbáceo",Em tanques de aço inox. ,"Sauvignon Blanc (90.00%), Outras uvas (10.00%)","Leve, acidez agradável",Amarelo-claro,"Espetinho de camarão, frango grelhado com legumes, salada com lascas de bacalhau, tabule, quiche de alho poró, espaguete ao molho branco. ",9.0,2019.0,0,12.0,Viña Maipo,Branco,3.0,,,0,1,0.0
https://wine.com.br/vinhos/latitud-33-cabernet-sauvignon-2018/prod22925.html,Argentina,63.9,75.18,4.0,5.0,"Esse exemplar vem de vinhedos localizados exatamente na latitude 33º do Hemisfério Sul. Região única que une solo, clima e a água de alta pureza proveniente da Cordilheira dos Andes. A uva desse exemplar é a Cabernet Sauvignon que tem mostrado seu potencial em solo argentino, ano após ano.",,"Frutas vermelhas, frutas negras, especiarias, herbáceo",50% do vinho passou de 3 a 4 meses em barricas de carvalho francês e americano.,Cabernet Sauvignon,"Corpo de leve para médio, taninos macios, boa acidez, final agradável",Rubi,"Fraldinha na brasa, lasanha à bolonhesa, pizzas variadas, filé com fritas, pimentão recheado, queijos semi-duros.",15.0,2018.0,1,14.5,Terrazas de los Andes,Tinto,4.0,Mendoza,2,1,1,20.0
https://wine.com.br/vinhos/perdigon-malbec-2018/prod22933.html,Argentina,,,4.5,82.0,"O enólogo da Las Perdices, Juan Carlos Muñoz, é filho do fundador da vinícola, Don Juan Muñoz Lopes. A sua filosofia de produção combina a mão do homem com o cuidado especial com a uva, priorizando o respeito pelo ambiente. O foco é a tipicidade dos vinhos, que expressam todo o potencial das uvas em seu terroir.
Vinho macio, sedoso no paladar e suculento!",,"Frutas vermelhas e negras, ameixa, amora",6 meses em madeira. Carvalho francês e americano.,Malbec,"Taninos macios, equilibrado, final persistente",Rubi,"Churrasco, filé com polenta, pizza de calabresa, risoto de shimeji.",15.0,2018.0,1,14.0,Viña Las Perdices,Tinto,5.0,Mendoza,,2,2,369.0
https://wine.com.br/vinhos/salton-classic-chardonnay-2016/prod22863.html,Brasil,,,4.5,4.0,"Elaborado 100% com uvas da variedade Chardonnay selecionadas no vinhedo. Fermenta em tanques de aço inox, com controle de temperatura. Coloração amarela clara, com leves reflexos esverdeados. Aromas de frutas maduras, como pêssego amarelo, maçã e damasco, além de toques de ervas. Em boca é leve e refrescante, com uma equilibrada acidez.",,"Maçã, manteiga, cítrico, limão e mel","20% do vinho possui leve passagem por barricas de carvalho norte-americanos, e 80% do vinho foi fermentado e conservado em tanques de aço inoxidável. ",Chardonnay (100.00%),"Untuoso, frutado e elegante",Amarelo-claro com reflexos esverdeados,"Carnes brancas (peixes ou frango), frutos do mar, massas com molho suave e queijos leves.",9.0,2016.0,1,12.0,Vinícola Salton,Branco,4.0,Serra Gaúcha,,1,1,18.0
https://wine.com.br/vinhos/mad-chief-chardonnay-2018/prod22742.html,,,,4.0,38.0,"Vinho delicado e refrescante!
A colheita à noite, em temperatura mais baixa para garantir a qualidade das uvas.
Até o rótulo é inovador! Perfeito para beber como um aperitivo ou para harmonizar com pratos leves.",,"Frutas tropicais, abacaxi, manga e papaya",Em tanques de inox com suas borras por 3 meses,Chardonnay (100%),"Delicado, corpo médio, boa acidez",Amarelo claro,"Saladas, massas, peixes, e até sobremesas refrescantes de frutas como um sorbet.",8.0,2018.0,1,,VyF Wines,Branco,3.0,,,2,1,152.0
https://wine.com.br/vinhos/cloudy-bay-pinot-noir-2014/prod22924.html,,373.9,439.88,0.0,0.0,"Produzido pela mítica Cloudy Bay, uma referência em vitivinicultura na Nova Zelândia, este rótulo traz a expressão da Pinot Noir cultivada no terroir de Marlborough. O amadurecimento em barricas de carvalho francês, agregou ainda mais complexidade a este tinto.",,"Ameixa madura, cereja negra, mirtilo, violeta, especiarias, tosta",12 meses em barricas de carvalho francês.,Pinot Noir (100%),"Frutado, boa acidez, médio corpo, taninos macios",Rubi,"Cogumelos na gratinados, codorna recheada, atum em crosta de quinoa, presunto cru na ciabatta, talharim ao pomodoro, mignon com legumes assados.",15.0,2014.0,1,13.5,Cloudy Bay,Tinto,6.0,,4,0,2,0.0
https://wine.com.br/vinhos/espumante-series-by-salton-moscatel/prod22774.html,,,,5.0,2.0,"Elaborado 100% com uvas Moscato, o vinho é fermentado pela segunda vez em tanques herméticos por um mês, com temperatura controlada. Durante o processo, a fermentação é interrompida para manter a doçura natural da uva. Apresenta aromas com notas frutadas de pêssego, limão, abacaxi, lichia e notas florais de rosas, jasmim e flor de laranjeira. Seu paladar é agradável, apresentando perfeito equilíbrio entre a acidez e o açúcar.",,,,,,,,,,,,Vinícola Salton,,,,,1,3,10.0
https://wine.com.br/vinhos/terrazas-de-los-andes-single-vineyard-las-compuertas-malbec-2014/prod22926.html,Argentina,,,0.0,0.0,"Este pontuado tinto é elaborado com uvas Malbec de um único vinhedo, o Las Compuertas, localizado a 1067 metros de altitude, aos pés da Cordilhera do Andes. As vinhas deste vinhedo foram plantadas em 1929, e são provenientes de mudas pré-filoxera, originárias da região de Bordeaux, França. Trata-se de um vinho de alta estirpe, que revela a mais fina expressão do terroir de altitude da região argentina de Mendoza. Recebeu 94 pontos de James Suckling e 92 pontos de Tim Atkin.",40.0,"Mirtilo, ameixa, geleia de frutas vermelhas, pimenta-do-reino, canela, amadeirado","18 meses em barricas novas de carvalho francês, mais 24 meses em garrafa.",Malbec (100%),"Potente, complexo, taninos presentes, acidez agradável, final longo",Rubi,"Bife ancho com batatas rústicas, risoto de funghi secchi, ravióli de mignon ao molho sugo, costeleta suína com purê de mandioquinha, picanha na brasa, queijos duros.",16.0,2014.0,1,14.5,Terrazas de los Andes,Tinto,20.0,Mendoza,,0,3,0.0
https://wine.com.br/vinhos/nato-sauvignon-blanc-2018/prod22743.html,,,,4.0,34.0,"Sabor fresco, com aroma de frutas cítricas e tropicais e de acidez equilibrada. Perfeito para acompanhar frutos do mar e saladas.",,"Frutas cítricas, frutas tropicais",4 meses sobre as borras.,Sauvignon Blanc (100.00%),"Leve, boa acidez, frutado, fácil de beber",Amarelo-claro,"Frutos do mar, peixes e saladas",7.0,2018.0,1,12.5,VyF Wines,Branco,2.0,,,2,1,136.0
https://wine.com.br/vinhos/clos-dalian-d-o-terra-alta-garnacha-tinta-2017/prod22802.html,Espanha,,,4.0,206.0,"A safra 2017 em Terra Alta foi considerada muito boa, o verão foi bastante quente, que ajudou na maturação das uvas. Devido às altas temperaturas, o rendimento foi menor do que o habitual, que garantiu às uvas uma excelente qualidade. Esse tinto elaborado com a Garnacha, sem amadurecimento em carvalho, expressa o caráter do terroir de origem.",,Frutas vermelhas maduras,Em tanques de aço inox.,Garnacha (100.00%),"Jovem, frutado, leve, fácil de beber, boa acidez, taninos macios",Rubi,"Queijo Manchego, esfirra de carne, yakissoba de carne, linguiças assadas, bauru de forno, escondidinho vegetariano",15.0,2017.0,1,13.0,Cellers Unió,Tinto,4.0,Terra Alta,,2,1,824.0
https://wine.com.br/vinhos/tradicao-2017/prod22881.html,Portugal,30.9,36.35,4.5,12.0,"Proveniente de vinhas da região de Lisboa, situadas a 35 km do Oceano Atlântico, com clima temperado úmido e estação seca no verão. Percebe-se no Tradição uma importante influência atlântica. Um vinho de encorpado e acidez fresca.",,Frutas vermelhas e especiarias,Estagiou parcialmente em carvalho francês,"Castelão (40%), Merlot (40%), Tinta Roriz (20%)","Jovem, intenso e saboroso",Rubi,"Frango assado, queijos, escalope de foie gras com uvas, risoto com lingüiça, talharim com molho de carne bolonhesa bolognesa e Iscas de filé.",16.0,2017.0,1,12.0,Companhia das Quintas,Tinto,4.0,Lisboa,1,2,1,54.0
https://wine.com.br/vinhos/farizoa-3-castas-tinto-2018/prod22879.html,Portugal,35.9,42.24,4.5,8.0,"O aroma encanta pelas frutas negras maduras, com notas de ameixa, figo e chocolate. Já o paladar confirma as notas aromáticas, é elegante e com taninos macios. A Herdade da Farizoa se localiza na sub-região de Borba, no Alentejo, onde o clima é marcado por primaveras e verões muito quentes, baixo nível de chuva e o sol é uma constante, fatores que contribuem para uma perfeita maturação das uvas, que somada à expertise do enólogo Joaquim Mendes dão um belo resultado.",,"Frutas negras maduras, com notas de ameixa, figo e chocolate",6 meses em barricas de carvalho francês,"Aragonês, Syrah, Alicante Bouschet","Confirma as notas aromáticas, é elegante e com taninos macios",Rubi intenso,"Fraldinha na brasa, pizza de calabresa, bolinho de carne seca, cupim assado, risoto de queijo, vaca a tolada.",15.0,2018.0,1,14.0,Herdade da Farizoa,Tinto,6.0,Alentejo,1,1,2,36.0
https://wine.com.br/vinhos/quinta-de-bons-ventos-tinto-2017/prod23013.html,Portugal,,,0.0,0.0,"Tinto português, de Lisboa, muito agradável e fácil de gostar. Faz parte de uma linha bastante premiada, a Bons Ventos. A safra 2017 ganhou duplo ouro no China Wine & Spirit Awards 2018, ouro no Berliner Wein Trophy 2018 e mais uma medalha de ouro no Concours Mondial de Bruxelles 2018.",20.0,"Frutas negras maduras, frutas vermelhas maduras, nuance defumada",3 a 4 meses de amadurecimento parcial em meias-pipas de carvalho.,"Castelão, Touriga Nacional, Camarate, Tinta Miúda","Médio corpo, taninos macios, boa acidez, frutado, notas do amadurecimento",Rubi,"Estrogonofe de carne, filezinho acebolado, risoto de funghi, tomates recheados com carne, queijos semi-duros, leitão ao forno. ",15.0,2017.0,0,13.0,Casa Santos Lima,Tinto,5.0,Lisboa,,0,2,0.0
https://wine.com.br/vinhos/estrella-de-pascua-syrah-2018/prod22912.html,,,,0.0,0.0,,,,,,,,,,,,,Wine.com.br,,,,,0,3,0.0
https://wine.com.br/vinhos/urmeneta-chardonnay-2019/prod22990.html,,26.9,31.65,4.0,24.0,"Elaborado com a Chardonnay, considerada a rainha das uvas brancas, esse rótulo é indicado para o dia a dia e para aqueles que estão iniciando no mundo do vinho. Com um estilo fácil de beber e de harmonizar, agrada aos mais diversos paladares.",,"Abacaxi, frutas brancas",,Chardonnay,"Leve, acidez presente, frutado",Amarelo-palha,"Empada de palmito, peixe frito com fritas, salada grega, legumes na grelha, quiche de sardinha, bruschetta de ricota com tomate.",9.0,2019.0,1,13.0,Urmeneta,Branco,4.0,,1,2,1,96.0
https://wine.com.br/vinhos/casa-valduga-terroir-merlot-2015/prod23028.html,Brasil,,,0.0,0.0,"Produzido no Vale dos Vinhedos, primeira região com Denominação de Origem do Brasil, este tinto é elaborado com uvas de vinhedos com produção limitada, cultivados em um terroir considerado excelente para a uva Merlot.",20.0,"Amora, ameixa, cacau, baunilha",8 meses em barricas de carvalho francês,Merlot (100%),"Médio corpo, taninos macios, boa acidez, notas do amadurecimento em carvalho",Rubi,"Picanha invertida ao forno, risoto de cogumelos, batata recheada com queijo e bacon, tagliatelle com ragu de costela, maminha na brasa, queijos maduros.",15.0,2015.0,1,12.5,Casa Valduga,Tinto,6.0,Vale dos Vinhedos,,0,2,0.0
https://wine.com.br/vinhos/trapiche-vineyards-cabernet-sauvignon-2018/prod23010.html,Argentina,,,0.0,0.0,"A Trapiche é reconhecida mundialmente pelos seus vinhos para o dia a dia e suas linhas Premium. A vinícola é exportada para mais de 85 países e possui mais de 391 prêmios. Este exemplar é um varietal da uva Cabernet Sauvignon, que passa curto período em barricas de carvalho, e é ideal para harmonizar com comidas cotidianas",,"Frutas negras, herbáceo, baunilha",Breve passagem por barricas de carvalho.,Cabernet Sauvignon (100%),"Corpo de leve para médio, taninos macios, boa acidez",Rubi,"Pizza de calabresa, kibe frito, alcatra com fritas, mix de queijos, cogumelo recheado com queijo, estrogonofe de carne.",15.0,2018.0,0,13.0,Trapiche,Tinto,4.0,Mendoza,,0,1,0.0
https://wine.com.br/vinhos/lidio-carraro-dadivas-chardonnay-2017/prod23031.html,Brasil,,,5.0,1.0,"Um Chardonnay brasileiro de respeito! Mostra notas de frutas tropicais como melão, abacaxi e maracujá, com frescor e corpo para deixar o paladar envolvente.",,Flores brancas e frutas tropicais,10 meses sobre as borras finas em tanques de inox,Chardonnay (100.00%),"Encorpado, untuoso e equilibrado",Amarelo palha,"Frutos do mar, carnes brancas, massas e saladas",,2017.0,1,13.5,Lidio Carraro,Branco,4.0,Encruzilhada do Sul ,,1,1,5.0
https://wine.com.br/vinhos/familia-toro-loco/prod22872.html,,,,5.0,1.0,Nesse kit especial com a família mais buscada na Wine você encontra os exemplares que farão você aproveitar a experiência de alguns dos rótulos Toro Loco e entender por qual motivo estão entre os vinhos mais vendidos. Não perca essa oportunidade!,,,,,,,,,,,,BVC Bodegas,,,,,1,3,5.0
https://wine.com.br/vinhos/ti-rita-colheita-2018/prod22994.html,Portugal,25.9,30.47,3.5,3.0,"A Indicação Geográfica Lisboa é uma das mais importantes regiões portuguesas, em termos de área de vinha e produção de vinho. Formada por suaves colinas, de relevo pouco acentuado, a IG Lisboa estende-se desde a capital de Portugal para norte, até Pombal, sempre ao longo do litoral.
Nascida num bairro típico da cidade de Lisboa, desde cedo Ti Rita percorre as suas ruas e ruelas.",,Frutas vermelhas e negras,Em tanques de aço inox.,"Touriga Nacional, Castelão, Aragonez","Suculento, taninos aveludados",Rubi,"Frango assado, queijos, escalope de foie gras com uvas, risoto com lingüiça, talharim com molho de carne bolonhesa bolognesa e Iscas de filé",18.0,2018.0,0,13.0,Parras Wine,Tinto,4.0,Lisboa,1,1,1,10.5
https://wine.com.br/vinhos/santa-helena-reservado-cabernet-sauvignon-2018/prod23003.html,,36.9,43.41,0.0,0.0,"Esse tinto jovem agrada com facilidade e se mostra versátil para harmonizar. É a linha de entrada da Viña Santa Helena, uma vinícola famosa e admirada entre os brasileiros.",,"Frutas vermelhas, herbáceo",Não passa por amadurecimento.,Cabernet Sauvignon (100%),"Leve, taninos macios, boa acidez, frutado",Rubi com reflexos violáceos,"Arroz carreteiro, churrasco, nhoque ao sugo, filé à parmegiana, iscas de filé acebolado, queijos como minas padrão.",15.0,2018.0,0,12.5,Santa Helena,Tinto,3.0,,1,0,1,0.0
